instance ID,event,node,start,end,latitude,longitude,accuracy,old-value,new-value
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form finalize,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form exit,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form save,,1646787467976,,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,end screen,,1646787465619,1646787467230,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-sport,1646787458482,1646787465547,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/hobby,1646787453322,1646787458370,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/tv-show,1646787449412,1646787453275,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-number,1646787447078,1646787449362,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/vacation-spot,1646787443514,1646787446982,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-chocolate,1646787440117,1646787443408,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/birth-city,1646787434185,1646787440052,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/num-siblings,1646787431161,1646787434085,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/song,1646787425854,1646787430967,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/dream-car,1646787422874,1646787425775,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/zodiac,1646787419378,1646787422595,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-food,1646787413736,1646787419248,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-color,1646787410729,1646787413413,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/birthday,1646787406171,1646787410674,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/age,1646787402754,1646787406133,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/best-movie,1646787398450,1646787402723,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/favorite-ice-cream,1646787390836,1646787398330,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/school,1646787385074,1646787390685,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,question,/data/name,1646787375113,1646787384873,,,,,
uuid:afffd66f-9096-4bd6-aa05-c1be9167d782,form start,,1646787375102,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/dream-car,1646787560625,1646787564201,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/zodiac,1646787558726,1646787560607,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-food,1646787556000,1646787558711,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-color,1646787553868,1646787555986,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/birthday,1646787549738,1646787553831,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/age,1646787548121,1646787549723,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/birthday,1646787546862,1646787548106,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/age,1646787544787,1646787546846,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/birthday,1646787543397,1646787544774,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/age,1646787540627,1646787543385,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/best-movie,1646787536433,1646787540618,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-ice-cream,1646787532999,1646787536404,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/school,1646787528681,1646787532932,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/name,1646787527547,1646787528673,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,jump,,1646787524738,1646787528673,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-ice-cream,1646787523566,1646787524737,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,form save,,1646787523565,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-ice-cream,1646787522428,1646787523396,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,form finalize,,1646787611215,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/name,1646787518179,1646787520995,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,form start,,1646787518177,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/school,1646787521043,1646787522411,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,form exit,,1646787611215,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,form save,,1646787611214,,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,end screen,,1646787610092,1646787610905,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,jump,,1646787608122,1646787610073,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-food,1646787606658,1646787608121,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-color,1646787603965,1646787606646,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,jump,,1646787601796,1646787606646,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,end screen,,1646787599063,1646787601796,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-sport,1646787596013,1646787599054,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/hobby,1646787593447,1646787595997,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/tv-show,1646787591247,1646787593431,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-number,1646787589375,1646787591234,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/vacation-spot,1646787585708,1646787589312,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/favorite-chocolate,1646787583751,1646787585691,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/birth-city,1646787580159,1646787583741,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/num-siblings,1646787578643,1646787580141,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/birth-city,1646787577286,1646787578622,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/num-siblings,1646787575355,1646787577271,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/song,1646787572506,1646787575341,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/dream-car,1646787571381,1646787572497,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/zodiac,1646787568592,1646787571348,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,jump,,1646787565457,1646787571348,,,,,
uuid:1a55ef4f-04d5-49dc-a31f-6237560aed23,question,/data/song,1646787564215,1646787565457,,,,,
